Start_dBFS
0;626869
1;626786
2;627315
3;627167
4;626931
5;626895
6;627402
7;627160
8;626652
9;627287
10;627320
11;626739
12;627121
13;627279
14;620272
15;626049
16;626769
17;620246
18;626892
19;626779
20;627213
21;626991
22;626463
23;625536
24;617541
25;617848
26;627066
27;627326
28;627220
29;626762
30;627254
31;627407
32;626636
33;627122
34;627291
35;626957
36;626944
37;627449
38;623004
39;626936
40;626957
41;619911
42;572105
43;615613
44;627400
45;606491
46;596286
47;627360
48;626462
49;597677
50;626917
51;627255
52;627278
53;601524
54;600890
55;606919
56;606738
57;610033
58;582695
59;572344
60;569606
61;538028
62;592274
63;530720
64;559012
65;603955
66;559662
67;399566
68;491706
69;582053
70;525336
71;408942
72;481691
73;556885
74;626867
75;627229
76;614417
77;420270
78;348166
79;186718
80;317936
81;314398
82;408020
83;627060
84;496822
Stop_dBFS
Start_dBSPL
0;627063
1;626094
2;625865
3;624817
4;626544
5;611785
6;614499
7;575951
8;521285
9;504820
Stop_dBSPL
Start_RT
0;625914
1;627416
2;627995
3;626067
4;626745
5;628013
6;626944
7;626498
8;627297
9;627453
10;626701
11;626703
12;627499
13;627563
14;626099
15;627161
16;628180
17;626240
18;626580
19;628241
20;627034
21;626284
22;627267
23;627536
24;626727
25;626622
26;627636
27;627475
28;626089
29;627327
30;628218
31;626227
32;626497
33;628233
34;626823
35;626372
36;623165
37;612709
38;626717
39;626757
40;626522
41;627451
42;626420
43;608971
44;628005
45;626476
46;626589
47;628161
48;626905
49;626044
50;627123
51;627384
52;626446
53;626960
54;627595
55;627176
56;625799
57;627122
58;627784
59;622103
60;613392
61;622109
62;599007
63;625963
64;627556
65;627975
66;626357
67;626888
68;627896
69;626864
70;626686
71;627320
72;627481
73;626952
74;626513
75;627585
76;627635
77;626307
78;627169
79;627956
80;626313
81;626554
82;628202
83;626889
84;626435
85;627232
86;627280
87;626950
88;626746
89;627410
90;627531
91;626339
92;626893
93;628328
94;626890
95;615901
96;627993
97;627219
98;626246
99;627424
100;627584
101;626564
102;626741
103;627732
104;608372
105;562701
106;551403
107;628134
108;598656
109;626170
110;627852
111;627306
112;626201
113;625152
114;577063
115;605979
116;570306
117;627417
118;627538
119;626842
120;626667
121;627980
122;615287
123;595016
124;595389
125;627571
126;626044
127;627194
128;627903
129;626716
130;626654
131;627636
132;627457
133;579804
134;609733
135;627759
136;581958
137;596897
138;610524
139;601469
140;597338
141;606226
142;627170
143;626050
144;584017
145;608921
146;555859
147;592552
148;525017
149;601044
150;582013
151;557750
152;513439
153;534493
154;579382
155;623653
156;540632
157;626250
158;389730
159;596511
160;547025
161;576791
162;588323
163;579731
164;615634
165;536504
166;586640
167;506220
168;331347
169;429130
170;486516
171;470168
172;498061
173;592548
174;628067
175;606852
176;504746
177;364332
178;416139
179;423180
180;460015
181;492213
182;436184
183;563474
184;627472
185;627330
186;626004
187;627436
188;627984
189;626485
190;626746
191;627769
192;444061
193;456789
194;438845
195;366909
196;391621
197;132930
198;107737
199;270074
200;248130
201;94247
202;616028
203;222747
204;16336
205;7834
206;468590
207;626425
208;627290
209;627434
210;625901
211;473544
212;61745
213;58888
Stop_RT
